iso_code,Country_name,period,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million,stringency_index
AUS,Australia,2020Q2,7920.0,307.117,104.0,4.033,3361.0,130.332,87.0,3.378,64.52351648351649
AUS,Australia,2020Q3,27096.0,1050.712,888.0,34.434,19176.0,743.598,784.0,30.405,73.19739130434782
AUS,Australia,2020Q4,28425.0,1102.248,909.0,35.249,1329.0,51.537,21.0,0.817,65.73108695652174
AUT,Austria,2020,360815.0,39899.605,6222.0,688.041,360815.0,39899.601,6224.0,688.267,55.35292604501607
AUT,Austria,2020Q1,10180.0,1125.724,128.0,14.154,10180.0,1125.726,128.0,14.155,47.11833333333333
AUT,Austria,2020Q2,17766.0,1964.598,705.0,77.96,7586.0,838.873,577.0,63.804,63.13538461538461
AUT,Austria,2020Q3,44813.0,4955.506,799.0,88.355,27047.0,2990.905,95.0,10.514000000000001,38.04217391304348
AUT,Austria,2020Q4,360815.0,39899.605,6222.0,688.041,316002.0,34944.097,5424.0,599.794,68.18804347826087
AZE,Azerbaijan,2020,218700.0,21392.218,2641.0,258.33,218700.0,21392.221,2641.0,258.35,77.90921568627451
AZE,Azerbaijan,2020Q1,298.0,29.149,5.0,0.489,298.0,29.148,5.0,0.49,49.762258064516125
AZE,Azerbaijan,2020Q2,17524.0,1714.116,213.0,20.835,17226.0,1684.971,208.0,20.352,85.58384615384615
AZE,Azerbaijan,2020Q3,40229.0,3935.014,591.0,57.809,22705.0,2220.895,378.0,36.984,87.01967391304348
AZE,Azerbaijan,2020Q4,218700.0,21392.218,2641.0,258.33,178471.0,17457.207,2050.0,200.524,70.69184782608696
BDI,Burundi,2020,818.0,66.746,2.0,0.163,818.0,66.755,2.0,0.164,13.903985507246377
BDI,Burundi,2020Q1,2.0,0.163,0.0,0.0,2.0,0.163,0.0,0.0,13.89
BDI,Burundi,2020Q2,170.0,13.871,1.0,0.082,168.0,13.709,1.0,0.082,13.89
BDI,Burundi,2020Q3,508.0,41.451,1.0,0.082,338.0,27.583000000000002,0.0,0.0,13.01195652173913
BDI,Burundi,2020Q4,818.0,66.746,2.0,0.163,310.0,25.3,1.0,0.082,14.81
BEL,Belgium,2020,646496.0,55577.496,19528.0,1678.769,646496.0,55577.498,19645.0,1688.838,56.27783132530121
BEL,Belgium,2020Q1,12775.0,1098.232,705.0,60.607,12775.0,1098.233,705.0,60.608000000000004,31.83824561403509
BEL,Belgium,2020Q2,61427.0,5280.712,9747.0,837.923,48652.0,4182.481,9042.0,777.317,71.75296703296704
BEL,Belgium,2020Q3,118452.0,10182.995,10016.0,861.048,57025.0,4902.281,386.0,33.195,54.05608695652174
BEL,Belgium,2020Q4,646496.0,55577.496,19528.0,1678.769,528044.0,45394.503,9512.0,817.718,58.3345652173913
BEN,Benin,2020,3251.0,261.103,44.0,3.534,3460.0,277.886,44.0,3.533,46.38948453608248
BEN,Benin,2020Q1,9.0,0.723,0.0,0.0,9.0,0.722,0.0,0.0,32.466875
BEN,Benin,2020Q2,1199.0,96.297,21.0,1.687,1399.0,112.35900000000001,21.0,1.686,58.35384615384615
BEN,Benin,2020Q3,2357.0,189.302,41.0,3.293,1158.0,93.002,20.0,1.606,42.63521739130435
BEN,Benin,2020Q4,3251.0,261.103,44.0,3.534,894.0,71.803,3.0,0.241,40.730760869565216
BFA,Burkina Faso,2020,6707.0,311.996,85.0,3.954,6707.0,312.024,85.0,3.971,44.466262626262626
BFA,Burkina Faso,2020Q1,261.0,12.141,14.0,0.651,261.0,12.144,14.0,0.653,50.715
BFA,Burkina Faso,2020Q2,962.0,44.75,53.0,2.465,701.0,32.619,39.0,1.823,65.09032967032967
BFA,Burkina Faso,2020Q3,2056.0,95.641,58.0,2.698,1094.0,50.901,5.0,0.235,45.31010869565217
BFA,Burkina Faso,2020Q4,6707.0,311.996,85.0,3.954,4651.0,216.35999999999999,27.0,1.26,21.72826086956522
BGD,Bangladesh,2020,513510.0,3087.788,7559.0,45.453,513510.0,3087.783,7559.0,45.41,78.75969899665553
BGD,Bangladesh,2020Q1,51.0,0.307,5.0,0.03,51.0,0.306,5.0,0.03,53.318333333333335
BGD,Bangladesh,2020Q2,145483.0,874.804,1847.0,11.106,145432.0,874.495,1842.0,11.068,83.69450549450549
BGD,Bangladesh,2020Q3,363479.0,2185.637,5251.0,31.575,217996.0,1310.831,3404.0,20.461,79.18510869565218
BGD,Bangladesh,2020Q4,513510.0,3087.788,7559.0,45.453,150031.0,902.151,2308.0,13.850999999999999,80.09
BGR,Bulgaria,2020,202266.0,29328.131,7576.0,1098.504,202266.0,29328.152000000002,7576.0,1098.52,48.27906354515051
